year,Base,Higher mortality,Lower interest,Higher benefit
0.0,0.0,0.0,0.0,0.0
0.08333333333333333,33.3986964183248,-16.703526468009333,33.377817310288066,8.349674104581197
0.16666666666666666,66.9284609050367,-33.48099000208256,66.84476091564804,16.732115226259175
0.25,100.5898078166943,-50.33271787980074,100.4010688033755,25.14745195417357
0.3333333333333333,134.38325352836966,-67.25903882741778,134.0469795962457,33.595813382092416
0.41666666666666663,168.30931644156982,-84.26028302627277,167.7827325542105,42.077329110392455
0.5,202.36851699218906,-101.3367821192309,201.6085675760998,50.592129248047264
0.5833333333333333,236.56137765849257,-118.48886921715275,235.52472520132736,59.14034441462314
0.6666666666666666,270.8884229691316,-135.71687890539238,269.5314466116015,67.72210574228289
0.75,305.35017951118965,-153.02114725032396,303.62897363263994,76.3375448777974
0.8333333333333333,339.9471759382605,-170.40201180589742,337.8175487358896,84.98679398456511
0.9166666666666666,374.67994297855824,-187.85981162022324,372.09741504025095,93.66998574463953
1.0,409.54901344305824,-205.3948872421861,406.46881631380654,102.38725336076453
1.0833333333333333,444.5549222336711,-223.00758072808796,440.9319969755547,111.13873055841773
1.1666666666666665,479.698206351448,-240.69823564832072,475.4872020971476,119.92455158786196
1.25,514.9794049048187,-258.4671970940681,510.13467740463403,128.74485122620462
1.3333333333333333,550.3990591178609,-276.3148116840373,544.8746692802065,137.59976477946518
1.4166666666666665,585.9577123386038,-294.24142757122047,579.7074247639536,146.48942808465088
1.5,621.6559100473625,-312.24739444968634,614.6331915556168,155.41397751184056
1.5833333333333333,657.4941998651059,-330.33306356140133,649.6522180163514,164.3735499662764
1.6666666666666665,693.4731315618579,-348.49878770308163,684.7647531704933,173.3682828904644
1.75,729.5932570651305,-366.74492123307493,719.9710467073294,182.39831426628254
1.8333333333333333,765.8551304683904,-385.07182007827276,755.271348982873,191.46378261709748
1.9166666666666665,802.2593080395594,-403.479841741054,790.6659110216445,200.56482700988977
2.0,838.8063482295479,-421.9693453062583,826.1549845184569,209.70158705738692
2.083333333333333,875.4968116808208,-440.5406914481906,861.7388218402041,218.87420292020514
2.1666666666666665,912.331261235999,-459.1942424376576,897.4176760276574,228.0828153089997
2.25,949.3102619464927,-477.9303621490334,933.1918007972635,237.32756548662312
2.333333333333333,986.4343810811697,-496.7494160673584,969.0614505429489,246.60859527029234
2.4166666666666665,1023.7041881350582,-515.6517712954688,1005.0268803379303,255.92604703376443
2.5,1061.1202548380818,-534.6377965611573,1041.0883459365264,265.28006370952033
2.583333333333333,1098.6831551638304,-553.7078622243658,1077.2461037759774,274.6707887909575
2.6666666666666665,1136.3934653383665,-572.8623402844107,1113.5004109782699,284.0983663345915
2.75,1174.2517638490624,-592.1016043872387,1149.8515253519631,293.5629409622655
2.833333333333333,1212.2586314534756,-611.4260298327157,1186.2997053940235,303.0646578633688
2.9166666666666665,1250.4146511882584,-630.8359935819483,1222.8452102916629,312.6036627970645
3.0,1288.7204083781005,-650.3318742646364,1259.488299924181,322.180102094525
3.083333333333333,1327.1764906447088,-669.9140521864596,1296.229234864814,331.7941226611771
3.1666666666666665,1365.7834879158218,-689.5829093364957,1333.068276382588,341.4458719789553
3.25,1404.5419924342589,-709.3388293946722,1370.0056864441751,351.1354981085646
3.333333333333333,1443.4525987670054,-729.1821977392503,1407.0417277157583,360.86314969175123
3.4166666666666665,1482.5159038143345,-749.1134014543435,1444.1766635648983,370.6289759535835
3.5,1521.7325068189623,-769.1328293374671,1481.4107580624063,380.43312670474046
3.583333333333333,1561.1030093752413,-789.2408719071235,1518.7442759842224,390.2757523438102
3.6666666666666665,1600.6280154383894,-809.4379214104198,1556.1774828132984,400.15700385959724
3.75,1640.3081313337536,-829.7243718307188,1593.7106447414847,410.0770328334383
3.833333333333333,1680.1439657661122,-850.1006188953252,1631.344028671424,420.0359914415279
3.9166666666666665,1720.1361298290121,-870.5670600832046,1669.07790221845,430.0340324572529
4.0,1760.2852370141434,-891.1240946327374,1706.912533712489,440.07130925353573
